time,event
2026-03-02T11:57:29.634751,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:57:29.898139,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:57:30.975664,poll ok #31 duration_ms=3157 degraded=0 timeout_streak=0
2026-03-02T11:57:32.814933,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:57:34.625193,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:57:34.889347,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:57:35.972700,candidate selected op=points start=0
 duration_ms=1083
2026-03-02T11:57:35.976740,poll ok #32 duration_ms=3163 degraded=0 timeout_streak=0
2026-03-02T11:57:37.812108,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:57:39.618599,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:57:39.883179,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:57:40.978489,poll ok #33 duration_ms=3166 degraded=0 timeout_streak=0
2026-03-02T11:57:42.817248,poll start #34
2026-03-02T11:57:42.817248,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:57:44.621755,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
2026-03-02T11:57:44.886161,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:57:45.987758,candidate selected op=points start=0
 duration_ms=1102
2026-03-02T11:57:45.989440,poll ok #34 duration_ms=3172 degraded=0 timeout_streak=0
2026-03-02T11:57:47.810074,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:57:49.610623,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
2026-03-02T11:57:49.862801,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:57:50.986391,poll ok #35 duration_ms=3176 degraded=0 timeout_streak=0
2026-03-02T11:57:52.810509,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:57:54.611847,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:57:54.863023,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:57:55.974870,poll ok #36 duration_ms=3164 degraded=0 timeout_streak=0
2026-03-02T11:57:57.810660,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:57:58.936428,candidate selected op=points start=0
 duration_ms=1125
2026-03-02T11:57:58.939494,poll ok #37 duration_ms=1129 degraded=0 timeout_streak=0
2026-03-02T11:58:02.809666,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:58:03.322754,poll ok #38 duration_ms=513 degraded=0 timeout_streak=0
2026-03-02T11:58:07.810782,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:58:09.612923,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:58:09.867171,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:58:10.980190,recv ok op=points@0 regs=72 attempt=2 duration_ms=1114
2026-03-02T11:58:10.981221,poll ok #39 duration_ms=3171 degraded=0 timeout_streak=0
2026-03-02T11:58:12.810556,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:58:14.611846,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:58:14.864627,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:58:15.996538,poll ok #40 duration_ms=3185 degraded=0 timeout_streak=0
2026-03-02T11:58:17.810593,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:58:19.614576,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
2026-03-02T11:58:19.876663,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:58:20.997919,recv ok op=points@0 regs=72 attempt=2 duration_ms=1122
2026-03-02T11:58:21.000493,poll ok #41 duration_ms=3189 degraded=0 timeout_streak=0
2026-03-02T11:58:22.810874,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:58:24.615811,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
2026-03-02T11:58:24.868614,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:58:25.996736,candidate selected op=points start=0
=0 timeout_streak=0
2026-03-02T11:58:27.811042,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:58:29.615170,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:58:29.868283,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:58:31.005365,candidate selected op=points start=0
 duration_ms=1137
2026-03-02T11:58:31.006430,poll ok #43 duration_ms=3195 degraded=0 timeout_streak=0
2026-03-02T11:58:32.810485,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:58:34.614428,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:58:34.866223,send op=points@0 start=0 count=72 attempt=2/2
