time,zone,alarm_type,event,message
2026-02-24T09:53:53.481010,1,stale,raise,Zone 1: stale data
2026-02-24T09:53:57.438953,1,stale,clear,Zone 1: stale data
2026-02-24T10:00:52.396971,1,stale,raise,Zone 1: stale data
2026-02-24T10:00:56.514709,1,stale,clear,Zone 1: stale data
2026-02-24T10:01:02.892234,1,offline,raise,Zone 1 is offline
2026-02-24T10:01:09.982108,1,invalidSensor,raise,Zone 1: invalid sensor value
2026-02-24T10:10:51.521694,1,offline,clear,Zone 1 is offline
2026-02-24T10:10:51.522220,1,stale,clear,Zone 1: stale data
alid sensor value
2026-02-24T10:11:04.601879,1,stale,raise,Zone 1: stale data

2026-02-24T10:11:07.360911,1,offline,clear,Zone 1 is offline
2026-02-24T10:11:07.361936,1,stale,clear,Zone 1: stale data
2026-02-24T10:22:47.101021,1,stale,raise,Zone 1: stale data

2026-02-24T10:22:54.110313,1,invalidSensor,raise,Zone 1: invalid sensor value
2026-02-24T10:24:29.526084,1,invalidSensor,clear,Zone 1: invalid sensor value
2026-02-24T10:24:29.526084,1,stale,clear,Zone 1: stale data
2026-02-24T10:24:36.513228,1,stale,raise,Zone 1: stale data

2026-02-24T10:35:31.512912,1,stale,clear,Zone 1: stale data

2026-02-24T10:35:39.602430,1,stale,raise,Zone 1: stale data

2026-02-24T10:43:41.525508,1,offline,clear,Zone 1 is offline
2026-02-24T10:43:41.526047,1,stale,clear,Zone 1: stale data
2026-02-24T10:43:50.180789,1,stale,raise,Zone 1: stale data
alid sensor value
2026-02-24T10:44:06.509911,1,invalidSensor,clear,Zone 1: invalid sensor value
2026-02-24T10:44:11.506435,1,stale,clear,Zone 1: stale data
2026-02-24T10:44:19.603514,1,stale,raise,Zone 1: stale data

2026-02-24T10:44:22.355882,1,stale,clear,Zone 1: stale data

2026-02-24T10:50:44.624333,1,stale,raise,Zone 1: stale data

2026-02-24T10:50:47.067266,1,offline,clear,Zone 1 is offline
2026-02-24T10:50:47.067266,1,stale,clear,Zone 1: stale data
2026-02-24T10:53:54.999664,1,offline,raise,Zone 1 is offline
2026-02-24T10:55:44.584221,1,offline,raise,Zone 1 is offline
2026-02-24T10:57:17.161123,1,stale,raise,Zone 1: stale data
alid sensor value
2026-02-24T10:57:36.093471,1,stale,clear,Zone 1: stale data
alid sensor value
2026-02-24T10:57:44.186675,1,stale,raise,Zone 1: stale data

2026-02-24T10:59:36.111772,1,stale,clear,Zone 1: stale data

2026-02-24T10:59:54.202113,1,offline,raise,Zone 1 is offline
2026-02-24T10:59:56.941535,1,stale,clear,Zone 1: stale data

2026-02-24T11:03:44.215429,1,stale,raise,Zone 1: stale data
2026-02-24T11:03:44.214273,1,offline,raise,Zone 1 is offline
2026-02-24T11:16:18.754275,1,offline,raise,Zone 1 is offline
2026-02-24T11:19:42.664449,1,offline,raise,Zone 1 is offline
2026-02-24T11:35:11.441223,1,stale,raise,Zone 1: stale data
alid sensor value
2026-02-24T11:35:29.174506,1,stale,clear,Zone 1: stale data
alid sensor value
2026-02-24T11:36:17.660025,1,offline,raise,Zone 1 is offline
2026-02-24T11:48:56.954125,1,stale,raise,Zone 1: stale data

2026-02-24T11:48:59.668684,1,stale,clear,Zone 1: stale data

2026-02-24T11:49:21.923029,1,stale,raise,Zone 1: stale data

2026-02-24T12:29:43.835200,1,stale,clear,Zone 1: stale data

2026-02-24T12:30:01.924822,1,offline,raise,Zone 1 is offline
2026-02-24T12:30:04.674882,1,stale,clear,Zone 1: stale data

2026-02-24T12:30:52.323076,1,offline,raise,Zone 1 is offline
2026-02-24T12:32:43.837407,1,offline,clear,Zone 1 is offline
2026-02-24T12:33:39.141421,1,stale,raise,Zone 1: stale data

2026-02-24T13:05:58.849670,1,stale,clear,Zone 1: stale data

2026-02-24T13:10:51.925644,1,stale,raise,Zone 1: stale data

2026-02-24T13:10:54.550442,1,stale,clear,Zone 1: stale data

2026-02-24T13:11:06.923098,1,stale,raise,Zone 1: stale data

2026-02-24T14:29:15.329280,1,stale,raise,Zone 1: stale data

2026-02-24T14:29:18.183417,1,stale,clear,Zone 1: stale data

2026-02-24T14:29:55.722221,1,offline,raise,Zone 1 is offline
2026-02-24T14:30:15.326378,1,stale,raise,Zone 1: stale data
2026-02-24T14:32:37.232217,1,invalidSensor,raise,Zone 1: invalid sensor value
2026-02-24T14:32:42.234758,1,stale,clear,Zone 1: stale data
alid sensor value
2026-02-24T14:32:55.324243,1,stale,raise,Zone 1: stale data

2026-02-24T14:32:58.097601,1,stale,clear,Zone 1: stale data

2026-02-24T14:33:25.722394,1,offline,raise,Zone 1 is offline
2026-02-24T14:33:32.240894,1,stale,raise,Zone 1: stale data
alid sensor value
2026-02-24T14:33:37.226322,1,stale,clear,Zone 1: stale data
alid sensor value
2026-02-24T14:33:50.322850,1,offline,raise,Zone 1 is offline
2026-02-24T14:33:53.100685,1,offline,clear,Zone 1 is offline
2026-02-24T14:33:53.101192,1,stale,clear,Zone 1: stale data
2026-02-24T14:34:43.098068,1,stale,raise,Zone 1: stale data

2026-02-24T14:46:37.139202,1,offline,raise,Zone 1 is offline
2026-02-24T14:47:08.649176,1,stale,raise,Zone 1: stale data
alid sensor value
2026-02-24T14:47:13.654036,1,invalidSensor,clear,Zone 1: invalid sensor value
2026-02-24T14:47:26.739313,1,stale,raise,Zone 1: stale data

2026-02-24T14:47:29.511410,1,stale,clear,Zone 1: stale data

2026-02-24T14:47:58.313783,1,stale,raise,Zone 1: stale data

2026-02-24T14:48:33.655931,1,invalidSensor,raise,Zone 1: invalid sensor value
2026-02-24T14:48:43.646769,1,offline,clear,Zone 1 is offline
