time,zone,sensor_idx,sensor_value,online,stale
2026-02-24T19:49:48.773163,1,0,28.60,1,0
2026-02-24T19:49:48.773163,1,1,12.50,1,0
2026-02-24T19:49:48.773163,1,2,25.20,1,0
2026-02-24T19:49:48.773163,1,3,0.00,1,0
2026-02-24T19:49:48.773163,1,4,0.00,1,0
2026-02-24T19:49:48.773163,1,5,0.00,1,0
2026-02-24T19:49:48.773163,1,6,0.00,1,0
2026-02-24T19:49:48.773163,1,7,0.00,1,0
2026-02-24T19:49:48.773163,1,8,0.00,1,0
2026-02-24T19:50:03.797193,1,0,28.60,1,0
2026-02-24T19:50:03.797193,1,1,27.10,1,0
2026-02-24T19:50:03.797193,1,2,25.30,1,0
2026-02-24T19:50:03.797193,1,3,0.00,1,0
2026-02-24T19:50:03.797193,1,4,0.00,1,0
2026-02-24T19:50:03.797193,1,5,0.00,1,0
2026-02-24T19:50:03.797193,1,6,0.00,1,0
2026-02-24T19:50:03.797193,1,7,0.00,1,0
2026-02-24T19:50:03.797193,1,8,0.00,1,0
2026-02-24T19:50:13.806853,1,0,28.60,1,0
2026-02-24T19:50:13.806853,1,1,27.60,1,0
2026-02-24T19:50:13.806853,1,2,25.30,1,0
2026-02-24T19:50:13.806853,1,3,0.00,1,0
2026-02-24T19:50:13.806853,1,4,0.00,1,0
2026-02-24T19:50:13.806853,1,5,0.00,1,0
2026-02-24T19:50:13.806853,1,6,0.00,1,0
2026-02-24T19:50:13.806853,1,7,0.00,1,0
2026-02-24T19:50:13.806853,1,8,0.00,1,0
2026-02-24T19:50:28.821628,1,0,28.50,1,0
2026-02-24T19:50:28.821628,1,1,12.50,1,0
2026-02-24T19:50:28.821628,1,2,25.30,1,0
2026-02-24T19:50:28.821628,1,3,0.00,1,0
2026-02-24T19:50:28.821628,1,4,0.00,1,0
2026-02-24T19:50:28.821628,1,5,0.00,1,0
2026-02-24T19:50:28.821628,1,6,0.00,1,0
2026-02-24T19:50:28.821628,1,7,0.00,1,0
2026-02-24T19:50:28.821628,1,8,0.00,1,0
2026-02-24T19:50:38.822917,1,0,28.60,1,0
2026-02-24T19:50:38.822917,1,1,27.10,1,0
2026-02-24T19:50:38.822917,1,2,25.30,1,0
2026-02-24T19:50:38.822917,1,3,0.00,1,0
2026-02-24T19:50:38.822917,1,4,0.00,1,0
2026-02-24T19:50:38.822917,1,5,0.00,1,0
2026-02-24T19:50:38.822917,1,6,0.00,1,0
2026-02-24T19:50:38.822917,1,7,0.00,1,0
2026-02-24T19:50:38.822917,1,8,0.00,1,0
2026-02-24T19:50:48.837881,1,0,28.50,1,0
2026-02-24T19:50:48.837881,1,1,27.60,1,0
2026-02-24T19:50:48.837881,1,2,25.20,1,0
2026-02-24T19:50:48.837881,1,3,0.00,1,0
2026-02-24T19:50:48.837881,1,4,0.00,1,0
2026-02-24T19:50:48.837881,1,5,0.00,1,0
2026-02-24T19:50:48.837881,1,6,0.00,1,0
2026-02-24T19:50:48.837881,1,7,0.00,1,0
2026-02-24T19:50:48.837881,1,8,0.00,1,0
2026-02-24T19:50:58.850858,1,0,28.50,1,0
2026-02-24T19:50:58.850858,1,1,27.60,1,0
2026-02-24T19:50:58.850858,1,2,25.30,1,0
2026-02-24T19:50:58.850858,1,3,0.00,1,0
2026-02-24T19:50:58.850858,1,4,0.00,1,0
2026-02-24T19:50:58.850858,1,5,0.00,1,0
2026-02-24T19:50:58.850858,1,6,0.00,1,0
2026-02-24T19:50:58.850858,1,7,0.00,1,0
2026-02-24T19:50:58.850858,1,8,0.00,1,0
2026-02-24T19:51:11.895468,1,0,28.60,1,0
2026-02-24T19:51:11.895468,1,1,27.50,1,0
2026-02-24T19:51:11.895468,1,2,25.30,1,0
2026-02-24T19:51:11.895468,1,3,0.00,1,0
2026-02-24T19:51:11.895468,1,4,0.00,1,0
2026-02-24T19:51:11.895468,1,5,0.00,1,0
2026-02-24T19:51:11.895468,1,6,0.00,1,0
